machine,project
AM,apache-httpd
AM,bind9
AM,bluez
AM,cairo
AM,civetweb
AM,clib
AM,cmake
AM,coturn
AM,croaring
AM,cryptsetup
AM,cyclonedds
AM,dbus-broker
AM,dnsmasq
AM,dovecot
AM,e2fsprogs
AM,fribidi
AM,fwupd
AM,gdbm
AM,gdk-pixbuf
AM,gpac
AM,gpsd
AM,h3
AM,hiredis
AM,igraph
AM,inchi
AM,kamailio
AM,krb5
AM,libbpf
AM,libcacard
AM,libdwarf
AM,libiec61850
AM,libjpeg-turbo
AM,liblouis
AM,libmodbus
AM,libpg_query
AM,libredwg
AM,libsndfile
AM,libssh
AM,libucl
AM,libwebsockets
AM,libyal
AM,libyang
AM,lighttpd
AM,lldpd
AM,llhttp
AM,lua
AM,lxc
AM,md4c
AM,mdbtools
AM,miniz
AM,msquic
pronto,libyang
pronto,lighttpd
pronto,lldpd
pronto,llhttp
pronto,lua
pronto,lxc
pronto,md4c
pronto,mdbtools
pronto,miniz
pronto,msquic
pronto,selinux
pronto,sound-open-firmware
pronto,spdk
pronto,sudoers
pronto,tarantool
pronto,tdengine
pronto,tmux
pronto,unbound
pronto,unit
pronto,utf8proc
pronto,util-linux
pronto,varnish
pronto,vlc
pronto,w3m
pronto,wasm3
pronto,wazuh
pronto,wolfmqtt
pronto,xbps
pronto,xnu
pronto,xs
pronto,zydis